model,window,auc,f1,accuracy,precision,recall,cv_auc_mean,cv_auc_std,best_iteration,train_time_s,tn,fp,fn,tp
XGBoost,D1,0.7951,0.6537,0.7389,0.5938,0.727,0.7978,0.0121,69,1.8,1309,448,246,655
LightGBM,D1,0.7914,0.6456,0.7348,0.5901,0.7125,0.7971,0.0126,58,1.4,1311,446,259,642
XGBoost,D3,0.7924,0.6553,0.7404,0.5958,0.7281,0.7967,0.0132,105,1.8,1312,445,245,656
LightGBM,D3,0.7916,0.6536,0.7404,0.5967,0.7225,0.7976,0.0102,64,1.9,1317,440,250,651
RandomForest,全量,0.7978,0.6565,0.7363,0.5877,0.7436,,,,171.3,1287,470,231,670
XGBoost,全量,0.7924,0.6553,0.7404,0.5958,0.7281,0.7967,0.0132,105,1.4,1312,445,245,656
LightGBM,全量,0.7916,0.6536,0.7404,0.5967,0.7225,0.7976,0.0102,64,2.0,1317,440,250,651
GBT,全量,0.7912,0.6466,0.7257,0.574,0.7403,,,,880.3,1262,495,234,667
